location,site,site_id,lat,lon,depth_range,date_survey,overfished_flag,turf,coralline_algae,fire_coral,rock,gorgonian,hard_coral,macroalgae,other_benthos,rubble,sand,silt,sponge,zoanthid
Bahamas,"Great_Inagua,_Devils_Point",B1,21.01802,-73.70638,14-Dec,25-Jul-11,N,1.28,10.24,1.12,23.68,3.36,14.24,16.16,0,4.48,9.44,0,15.84,0.16
Bahamas,"Exumas,_Danger_Reef",B2,24.42737,-76.6744,15,10-Jul-10,N,0,4.12,0.48,17.27,8.56,11.09,46.44,0,0.32,0.95,0.32,10.46,0
Bahamas,"Nassau,_Goulding_Cay",B3,25.0225,-77.57043,12,13-Jul-10,Y,0,1.44,0,21.63,5.61,18.75,29.8,0,0,7.37,0.96,14.42,0
Bahamas,"Bimini,_Hawksbill_Reef_North",B4,25.75527,-79.30102,14,14-Jul-10,Y,0,0.96,0,24.96,0.16,5.44,44.64,0,0.32,1.92,1.12,20.48,0
Bahamas,Hogsty_Reef,B5,21.67015,-73.83735,14-15,23-Jul-11,N,1.6,4.48,0.16,27.84,0.64,12.48,22.08,0,0.8,5.76,0,24.16,0
Bahamas,Little_Inagua,B6,21.45068,-73.05805,14-15,29-Jul-11,N,2.4,2.72,0.16,28.8,0.16,19.52,34.56,0.32,0.8,0.48,0.16,9.92,0
Bahamas,"Mira_Por_Vos_Cays,_North_Rock",B7,22.14568,-74.538,15-18,22-Jul-11,N,0.32,3.04,1.6,7.52,4,28,50.56,0.32,0.16,0.8,0,3.68,0
Bahamas,"Great_Inagua,_NW_Point",B8,21.09908,-73.67027,14,26-Jul-11,N,2.56,9.12,1.28,21.44,0.8,17.92,13.92,0.16,12.96,7.04,0,12.8,0
Bahamas,San_Salvador,B9,24.01898,-74.54478,12,8-Jul-10,N,0,0.48,0,30.9,3.17,6.5,36.45,0.16,0.63,2.69,2.54,16.48,0
Bahamas,"Cat_Cay,_Tuna_Alley",B10,25.52467,-79.29897,16,15-Jul-10,Y,0.32,5.44,0.16,16.64,3.84,4.16,52.96,0,0,6.72,0,9.76,0
